kappa,theta,sigma,price_euler1000,ci_euler1000,time_euler1000,price_euler30,ci_euler30,time_euler30,price_exact1000,ci_exact1000,time_exact1000,price_exact30,ci_exact30,time_exact30,price_ae1000,ci_ae1000,time_ae1000,price_ae30,ci_ae30,time_ae30
1.000,0.200,1.000,0.136383,0.001711,5.081,0.144298,0.001691,0.200,0.136880,0.001734,502.225,0.134684,0.001670,13.566,0.137530,0.001719,503.866,0.134185,0.001649,13.079
1.000,0.500,0.100,0.197419,0.001562,5.118,0.198031,0.001538,0.195,0.196894,0.001566,221.492,0.197517,0.001580,16.835,0.195367,0.001553,225.214,0.184816,0.001501,17.189
1.000,0.500,0.300,0.195980,0.001676,5.218,0.196482,0.001644,0.205,0.200249,0.001688,508.596,0.197473,0.001691,15.526,0.200403,0.001694,503.302,0.191985,0.001643,15.522
1.000,0.500,0.500,0.196574,0.001832,4.948,0.199349,0.001799,0.191,0.205778,0.001863,617.029,0.196228,0.001846,10.672,0.207384,0.001890,612.711,0.192408,0.001779,10.682
1.000,0.500,0.700,0.193605,0.002034,4.938,0.196285,0.001921,0.189,0.203829,0.002205,540.029,0.195290,0.001973,6.213,0.206557,0.002274,541.377,0.191550,0.001969,6.233
1.000,0.500,1.000,0.190844,0.002419,4.948,0.196138,0.002250,0.195,0.197264,0.002429,512.930,0.192581,0.002447,4.497,0.197802,0.002551,509.509,0.189095,0.002248,4.313
2.000,0.050,0.100,0.106923,0.000736,4.943,0.107960,0.000736,0.187,0.106905,0.000736,223.971,0.106678,0.000735,16.943,0.106777,0.000735,226.695,0.110456,0.000745,17.162
2.000,0.050,0.300,0.105318,0.000807,5.373,0.106951,0.000808,0.203,0.110919,0.000833,557.734,0.105612,0.000804,10.748,0.112130,0.000841,550.984,0.106677,0.000804,10.777
2.000,0.050,0.500,0.103379,0.000887,4.958,0.104970,0.000882,0.195,0.105835,0.000906,511.343,0.102856,0.000878,10.467,0.106333,0.000910,505.811,0.103710,0.000880,9.935
2.000,0.050,0.700,0.100754,0.000968,5.067,0.105136,0.000986,0.206,0.102371,0.000996,504.330,0.100176,0.000967,13.003,0.102339,0.001018,506.232,0.101376,0.000967,12.404
